line,p,logit,y,p_uncalibrated,p_platt,p_beta,p_isotonic
0,0.9999978542327881,,1,0.9999978542327881,0.7205013527033756,0.7610014835252789,0.7440476190476191
0,0.9999973773956299,,1,0.9999973773956299,0.7205009655919478,0.7559396288155045,0.7440334925822711
0,0.9999957084655762,,1,0.9999957084655762,0.7204996106993662,0.743212391599448,0.7433993399339934
0,0.9999878406524658,,1,0.9999878406524658,0.7204932232944767,0.7149045950417773,0.7216837813263223
0,0.8402273654937744,,1,0.8402273654937744,0.5751410394579525,0.39961600360787,0.45076367552106267
1,0.9999929666519165,,1,0.9999929666519165,0.7204973847956834,0.7300165862699844,0.7404295051353875
1,0.9999979734420776,,1,0.9999979734420776,0.7205014494811811,0.7624300375127344,0.7440476190476191
1,0.999999,,1,0.999999,0.720502282871954,0.7795954369439173,0.7623824451410658
1,0.9999970197677612,,1,0.9999970197677612,0.7205006752581615,0.752677449222766,0.7437021627598346
1,0.9999953508377075,,1,0.9999953508377075,0.7204993203647185,0.7411032766360647,0.7429791212164409
1,0.999998927116394,,1,0.999998927116394,0.7205022237028881,0.7779264336877836,0.7623824451410658
1,0.999999,,1,0.999999,0.720502282871954,0.7795954369439173,0.7623824451410658
1,0.9999972581863403,,1,0.9999972581863403,0.7205008688140394,0.7548085773242136,0.7439230493081256
1,0.999999,,1,0.999999,0.720502282871954,0.7795954369439173,0.7623824451410658
1,0.9999841451644897,,1,0.9999841451644897,0.7204902231189189,0.7073985798426299,0.7069708003023839
1,0.9999978542327881,,1,0.9999978542327881,0.7205013527033756,0.7610014835252789,0.7440476190476191
1,0.999999,,1,0.999999,0.720502282871954,0.7795954369439173,0.7623824451410658
1,0.9999980926513672,,1,0.9999980926513672,0.7205015462589662,0.7639387860819508,0.7488675112733928
1,0.9999951124191284,,1,0.9999951124191284,0.7204991268081841,0.7397798008673845,0.7425486160933302
1,0.9983296990394592,,0,0.9983296990394592,0.7191450863001149,0.5600309117617197,0.5897961854553045
2,0.999826967716217,,1,0.999826967716217,0.7203626006326873,0.6349854839518837,0.6743214983891296
2,0.455939382314682,,0,0.455939382314682,0.22333368242931495,0.34345668760141385,0.3953488372093023
2,0.9994701743125916,,0,0.9994701743125916,0.7200727648272266,0.5985744715964578,0.6422313170089647
2,0.9999780654907227,,1,0.9999780654907227,0.7204852873033403,0.6980622039217133,0.7056816966085984
2,0.9998171925544739,,1,0.9998171925544739,0.7203546623722803,0.6332295052350222,0.6734423153376182
2,0.999997615814209,,1,0.999997615814209,0.7205011591477025,0.7583528132979096,0.7440476190476191
2,0.7213464379310608,,0,0.7213464379310608,0.4560156471129241,0.3771511313839842,0.3953488372093023
2,0.7253016233444214,,0,0.7253016233444214,0.4599736826122713,0.37776532065390805,0.3953488372093023
2,0.9999810457229614,,0,0.9999810457229614,0.7204877068274465,0.7022835752261122,0.7063136101839835
2,0.9999942779541016,,0,0.9999942779541016,0.7204984493596679,0.7355797076054227,0.741041848162443
2,0.9921860694885254,,0,0.9921860694885254,0.714115687801097,0.5070254916171724,0.5843935818541016
2,0.9287264943122864,,0,0.9287264943122864,0.6591771736862501,0.4294503370197275,0.5285883080276798
2,0.9998021721839905,,0,0.9998021721839905,0.7203424642888316,0.6307001640394737,0.6720913755267592
2,0.998968243598938,,0,0.998968243598938,0.7196647181861445,0.5763232451750403,0.5970874116627621
2,0.9999852180480957,,0,0.9999852180480957,0.7204910941396597,0.709391639323263,0.7071982891895225
2,0.9999967813491821,,0,0.9999967813491821,0.7205004817022015,0.7506994159556502,0.7434812762115436
2,0.999745786190033,,0,0.999745786190033,0.720296670166362,0.6226198853141354,0.667019990363773
2,0.9999961853027344,,0,0.9999961853027344,0.7204999978119425,0.7462954412329236,0.7433993399339934
2,0.9999332427978516,,0,0.9999332427978516,0.720448896114629,0.6648144212869896,0.6895752171408204
2,0.981320321559906,,0,0.981320321559906,0.7050897542047213,0.47671596311872094,0.5748384274616952
2,0.9999887943267822,,0,0.9999887943267822,0.7204939975301309,0.7171913697405463,0.7272001323526565
2,0.9999213218688965,,0,0.9999213218688965,0.7204392171188906,0.6597539519809619,0.6849308128904439
2,0.9999972581863403,,0,0.9999972581863403,0.7205008688140394,0.7548085773242136,0.7439230493081256
2,0.9997814297676086,,0,0.9997814297676086,0.7203256187813246,0.6274959495332194,0.6702257919784302
2,0.9999737739562988,,0,0.9999737739562988,0.7204818031661074,0.6928508170250625,0.7047717410600439
2,0.9995996356010437,,0,0.9995996356010437,0.720177951999947,0.607811813939752,0.6538751315692249
2,0.9901158213615417,,0,0.9901158213615417,0.7124087930088232,0.49887362296719084,0.5825730407727264
2,0.9999808073043823,,0,0.9999808073043823,0.7204875132659895,0.701923562641642,0.7062630570979527
2,0.9829400777816772,,0,0.9829400777816772,0.7064457313500978,0.4798810879391586,0.5762628136041641
2,0.999969482421875,,0,0.999969482421875,0.7204783190022942,0.6883920036247589,0.703694206061965
2,0.915169358253479,,0,0.915169358253479,0.6467938939047418,0.4231618186358804,0.5166663925726409
2,0.9999979734420776,,0,0.9999979734420776,0.7205014494811811,0.7624300375127344,0.7440476190476191
2,0.9977850914001465,,0,0.9977850914001465,0.7187014344377823,0.5504189733335273,0.5893172667364918
2,0.9999300241470337,,0,0.9999300241470337,0.7204462828059901,0.6633679390336467,0.6883212279932187
2,0.999999,,0,0.999999,0.720502282871954,0.7795954369439173,0.7623824451410658
2,0.9999881982803345,,0,0.9999881982803345,0.7204935136330007,0.7157416897160136,0.7237524129611976
2,0.9637166261672974,,0,0.9637166261672974,0.6901214767467878,0.4534450427459697,0.5593580363778722
2,0.9999669790267944,,0,0.9999669790267944,0.7204762865611283,0.6860584566824061,0.702718881169386
2,0.9726682305335999,,0,0.9726682305335999,0.6977854293290932,0.4634009658323968,0.5672299253947773
2,0.9999946355819702,,0,0.9999946355819702,0.7204987396948693,0.7373046037030404,0.741687605847109
2,0.9987587928771973,,0,0.9987587928771973,0.7194943370253465,0.570091263230361,0.5901735232966894
2,0.9933755993843079,,0,0.9933755993843079,0.7150936879941809,0.5127436975331462,0.5854396342642304
2,0.9741689562797546,,0,0.9741689562797546,0.6990597218922786,0.46538040449223694,0.5685496381563259
2,0.961812436580658,,0,0.961812436580658,0.6884774435762686,0.45164225658422985,0.5576835243597139
